"ug","shear","ub","ur","u:0","u:1","u:2","twist","isotropic","uniaxial","Points:0","Points:1","Points:2"
0.96828,0.0049651,-0.3886,-0.57969,0.088699,-0.016575,0,0.013359,0.002258,0.00010646,649.53,143.8,0
0.015475,0.0093418,0.17503,-0.1905,0.0071103,0.018257,0,0.010276,0.0010675,0.0020145,641.66,140.63,0
1.0528,0.00671,-0.17921,-0.87355,0.10408,0.0068431,0,0.010128,0.0033779,0.00027799,646.21,145.31,0
0.97913,0.0050939,-0.13765,-0.84147,0.097711,0.0093302,0,0.0025992,-0.00030087,0.0034094,640.04,146.49,0
0.96828,0.0028847,-0.3886,-0.57969,0.088699,-0.016575,0,0.011462,0.0013702,-0.00013254,649.53,143.8,0
1.6524,0.0017444,-0.98002,-0.67236,0.14141,-0.060669,0,0.00093463,0.0015925,0.00014447,574.09,168.51,0
1.6155,0.0015147,-0.98352,-0.63202,0.13746,-0.061906,0,0.00072461,0.0014054,0.00017589,565.26,172.86,0
1.5837,0.0018951,-0.98501,-0.59869,0.1341,-0.06282,0,0.0016003,0.0012514,0.00080926,571.06,168,0
1.865,0.0014395,-0.87794,-0.98711,0.16678,-0.045154,0,0.00040696,0.0014777,0.00017092,575.74,177.85,0
1.6524,0.0019418,-0.98002,-0.67236,0.14141,-0.060669,0,0.001022,0.0017741,0.00010313,574.09,168.51,0
1.6155,0.0017745,-0.98352,-0.63202,0.13746,-0.061906,0,0.00089921,0.0015989,0.00019648,565.26,172.86,0
1.6948,0.0020933,-0.97774,-0.71709,0.14591,-0.059421,0,0.0012546,0.0017958,0.00018454,583.01,164.33,0
1.6524,0.0016669,-0.98002,-0.67236,0.14141,-0.060669,0,0.00078063,0.0016083,0.00013388,574.09,168.51,0
1.6296,0.0022484,-0.98135,-0.64822,0.13899,-0.061349,0,0.0019064,0.0013924,0.00087001,580.04,164.17,0
1.8707,0.0016077,-0.88499,-0.98575,0.16715,-0.045738,0,0.00043903,0.0017342,0.00011429,583.39,171.64,0
1.6948,0.0022947,-0.97774,-0.71709,0.14591,-0.059421,0,0.0012688,0.0020462,3.5075e-05,583.01,164.33,0
1.6524,0.0019691,-0.98002,-0.67236,0.14141,-0.060669,0,0.001016,0.0018055,0.00018843,574.09,168.51,0
1.706,0.0028306,-0.9748,-0.73125,0.14717,-0.058852,0,0.0023247,0.0016463,0.00042898,591.94,160.18,0
1.6948,0.0020553,-0.97774,-0.71709,0.14591,-0.059421,0,0.0010736,0.0018831,0.00017267,583.01,164.33,0
1.6787,0.0029521,-0.97509,-0.70363,0.14431,-0.059535,0,0.0025047,0.0015977,0.00074883,589.2,160.79,0
1.706,0.0030387,-0.9748,-0.73125,0.14717,-0.058852,0,0.0020622,0.0021401,-9.0123e-05,591.94,160.18,0
1.8815,0.0021291,-0.90398,-0.9775,0.16768,-0.047423,0,0.00092545,0.0021799,-0.00011985,591.18,165.59,0
1.6948,0.002312,-0.97774,-0.71709,0.14591,-0.059421,0,0.0012314,0.0020858,0.00016263,583.01,164.33,0
5.0383,6.6307e-05,-5.2148,0.17654,0.36124,-0.41254,0,5.086e-05,-0.00013397,1.2107e-05,195.4,424.24,0
5.0186,9.3835e-05,-5.1947,0.17611,0.35983,-0.41096,0,5.8878e-05,-0.00012736,3.848e-05,195.97,414.2,0
5.0404,8.1682e-05,-5.2111,0.1707,0.36158,-0.41211,0,7.2213e-05,-0.00012582,1.3928e-05,188.29,420.62,0
0.51331,0.00012301,-0.99781,0.48449,0.022151,-0.089706,0,9.6231e-05,-7.6846e-05,-1.8657e-05,79.341,166.94,0
0.53356,0.00013288,-1.0074,0.4738,0.023961,-0.090198,0,0.00010386,-8.0183e-05,-1.721e-05,74.405,172.79,0
0.53087,0.00013382,-1.0057,0.47483,0.023733,-0.090093,0,9.5495e-05,-8.2247e-05,-2.8045e-05,80.724,174.63,0
5.0186,8.758e-05,-5.1947,0.17611,0.35983,-0.41096,0,4.9759e-05,-0.00013207,3.0342e-05,195.97,414.2,0
5.0404,8.354e-05,-5.2111,0.1707,0.36158,-0.41211,0,7.4405e-05,-0.00012433,1.5821e-05,188.29,420.62,0
5.0311,9.3449e-05,-5.2009,0.1698,0.36093,-0.41129,0,8.2985e-05,-0.00011123,3.1078e-05,184.4,414.53,0
0.51331,0.00012336,-0.99781,0.48449,0.022151,-0.089706,0,9.5567e-05,-7.6599e-05,-1.927e-05,79.341,166.94,0
0.53356,0.0001327,-1.0074,0.4738,0.023961,-0.090198,0,0.00010453,-8.025e-05,-1.6559e-05,74.405,172.79,0
0.51807,0.00012013,-0.99964,0.48156,0.02259,-0.089779,0,0.00010889,-7.4502e-05,-4.5568e-06,69.709,165.13,0
2.126,3.9133e-05,-1.1616,-0.96438,0.18506,-0.067907,0,-9.1104e-05,-5.0467e-05,1.7526e-05,595.6,358.46,0
2.1192,2.9368e-05,-1.1484,-0.9708,0.18477,-0.066719,0,-8.4807e-05,-4.1279e-05,1.4328e-05,605.35,358.51,0
2.1225,3.5847e-05,-1.146,-0.97642,0.18518,-0.066402,0,-7.0626e-05,-4.5386e-05,2.0258e-05,603.69,350.25,0
0.47714,6.6065e-05,-0.96829,0.49115,0.019309,-0.087553,0,0.00013179,-4.7532e-05,1.9618e-05,44.789,144.05,0
0.49423,7.9131e-05,-0.97948,0.48526,0.020738,-0.08829,0,0.00013496,-5.516e-05,2.0647e-05,48.145,151.5,0
0.46726,7.1338e-05,-0.96826,0.501,0.01828,-0.087787,0,0.00011445,-4.9148e-05,1.1943e-05,53.637,140.19,0
0.76006,0.00027611,-1.0231,0.26301,0.047071,-0.086391,0,0.00050639,-0.00045835,7.7953e-05,76.686,256.13,0
0.72798,0.00017177,-1.0185,0.29052,0.043871,-0.086691,0,5.4884e-05,0.00014497,-0.00049815,74.483,248.18,0
0.70054,3.8738e-05,-1.016,0.31544,0.041092,-0.08709,0,8.2686e-05,9.2337e-05,-0.00044246,81.828,247.05,0
0.45786,5.892e-05,-0.95993,0.50207,0.017562,-0.08716,0,0.00011791,-4.2523e-05,1.4455e-05,47.326,135.11,0
0.44343,4.683e-05,-0.95015,0.50672,0.016366,-0.086506,0,0.00011411,-3.5072e-05,1.3019e-05,43.344,127.43,0
0.46334,5.2545e-05,-0.95731,0.49397,0.018215,-0.086761,0,0.00013188,-3.9256e-05,1.8648e-05,39.438,137.66,0
4.6204,-6.3677e-05,-2.9404,-1.68,0.38913,-0.19009,0,0.0021323,-0.00012181,0.00013403,7.5976,436.75,0
4.868,-8.4733e-05,-3.0514,-1.8166,0.41145,-0.19551,0,0.0021157,-8.7459e-05,8.2053e-05,9.0109,447.64,0
4.7547,-0.00011627,-3.1309,-1.6238,0.39714,-0.20635,0,0.00216,-0.00010072,0.00011699,14.462,440.6,0
4.6789,-9.3467e-07,-2.8079,-1.871,0.39939,-0.17515,0,0.0020528,-0.00011722,0.00011644,0,441.73,0
4.6204,-6.5418e-05,-2.9404,-1.68,0.38913,-0.19009,0,0.0021352,-0.00012583,0.00012942,7.5976,436.75,0
4.868,-8.6335e-05,-3.0514,-1.8166,0.41145,-0.19551,0,0.0021161,-8.2709e-05,8.6543e-05,9.0109,447.64,0
-0.41837,-0.0009516,0.40699,0.011379,-0.030814,0.031595,0,0.0016471,-0.0011346,-0.0013588,393.99,78.967,0
-0.49936,-0.0012152,0.21046,0.2889,-0.045427,0.0095756,0,0.0023895,-0.00148,-0.0012146,401.07,82.961,0
-0.62112,-0.0011411,0.27933,0.34179,-0.055953,0.013704,0,0.0014486,-0.0019152,-0.0010901,401.76,71.432,0
-0.60443,-0.0019854,0.028382,0.57605,-0.062096,-0.011543,0,0.0035814,-0.001691,0.00013416,406.5,78.122,0
-0.49936,-0.0014385,0.21046,0.2889,-0.045427,0.0095756,0,0.0026501,-0.0011855,-0.00089092,401.07,82.961,0
-0.62112,-0.00058762,0.27933,0.34179,-0.055953,0.013704,0,0.00085523,-0.0022104,-0.0014547,401.76,71.432,0
2.126,3.8948e-05,-1.1616,-0.96438,0.18506,-0.067907,0,-9.1287e-05,-5.0269e-05,1.7329e-05,595.6,358.46,0
2.1192,2.9445e-05,-1.1484,-0.9708,0.18477,-0.066719,0,-8.4731e-05,-4.1368e-05,1.4418e-05,605.35,358.51,0
2.118,2.8246e-05,-1.1558,-0.96219,0.18441,-0.067507,0,-9.9988e-05,-4.2033e-05,1.0971e-05,602.03,365.61,0
-0.63353,-0.00027521,0.28758,0.34594,-0.056987,0.014251,0,-0.00035171,-0.00038888,-0.00043303,415.11,49.832,0
-0.68886,-0.00030674,0.30322,0.38563,-0.062262,0.014527,0,-0.00031502,-0.00026052,-0.00032251,425.05,47.098,0
-0.61412,-0.00017078,0.28199,0.33213,-0.05514,0.014143,0,-0.00020528,-0.00032991,-0.00035294,418.2,41.506,0
0.14776,0.00042714,-0.57676,0.429,-0.0027179,-0.055412,0,3.8331e-05,-0.00020117,0.00015643,294.59,133.42,0
0.1781,0.00046605,-0.57848,0.40038,0.0003897,-0.054863,0,4.6814e-05,-0.00021308,0.00018777,302.44,140.34,0
0.10092,0.00046772,-0.50811,0.4072,-0.0054432,-0.049516,0,1.818e-05,-0.00020906,0.0001441,304.79,128.87,0
2.1224,4.0308e-05,-1.2394,-0.88299,0.18225,-0.075947,0,-0.0002026,-5.6273e-05,-2.8057e-06,565.8,399.14,0
2.1147,3.725e-05,-1.2541,-0.86061,0.18098,-0.077627,0,-0.00022754,-5.2586e-05,-5.6169e-06,560.93,407.95,0
2.1021,2.6229e-05,-1.2285,-0.8736,0.18047,-0.075315,0,-0.00021075,-4.4222e-05,-4.8198e-06,570.15,408.02,0
5.2323,0.00014652,-5.215,-0.017273,0.38145,-0.40792,0,0.00046684,-0.00015595,-0.00016889,134.45,444.79,0
5.2758,0.00013045,-5.1935,-0.082281,0.38666,-0.40469,0,0.00057987,-0.00017214,-0.00020522,126.25,448.31,0
5.3198,0.00012037,-5.2274,-0.092409,0.39018,-0.40709,0,0.00050532,-0.00023786,-0.00024582,132.48,457.59,0
0.51331,0.00012306,-0.99781,0.48449,0.022151,-0.089706,0,9.6294e-05,-7.6868e-05,-1.8609e-05,79.341,166.94,0
0.49092,0.00010985,-0.98709,0.49618,0.020154,-0.089147,0,9.3728e-05,-7.0179e-05,-1.0957e-05,77.822,156.86,0
0.49534,0.00011594,-0.98934,0.49399,0.020545,-0.08927,0,8.7827e-05,-7.4365e-05,-2.0755e-05,84.417,161.63,0
0.51331,0.00012372,-0.99781,0.48449,0.022151,-0.089706,0,9.5711e-05,-7.7204e-05,-1.8759e-05,79.341,166.94,0
0.51807,0.00011966,-0.99964,0.48156,0.02259,-0.089779,0,0.0001087,-7.3671e-05,-5.2659e-06,69.709,165.13,0
0.49092,0.00010928,-0.98709,0.49618,0.020154,-0.089147,0,9.4271e-05,-7.0002e-05,-1.0948e-05,77.822,156.86,0
3.7002,0.00057117,-4.3479,0.64767,0.24903,-0.35592,0,0.001544,-0.00014603,0.0010954,100.58,369.12,0
3.4168,0.00024812,-4.1383,0.72148,0.22609,-0.34127,0,0.0014034,5.0776e-06,0.00095132,98.003,358.24,0
